"Car","Destination","DestinationCode","DestinationName","Group","Line","LocationCode","LocationName","Min","time","timediff"
"8","Glenmont","B11","Glenmont","1","RD","A01","Metro Center","BRD",2016-06-05 17:34:10,12.817018866539
"6","SilvrSpg","B08","Silver Spring","1","RD","A01","Metro Center","BRD",2016-06-05 17:45:11,11.021730752786
"8","Glenmont","B11","Glenmont","1","RD","A01","Metro Center","BRD",2016-06-05 17:52:21,7.1588050643603
"8","Shady Gr","A15","Shady Grove","2","RD","A01","Metro Center","BRD",2016-06-05 17:41:50,4.97763683398565
"8","Glenmont","B11","Glenmont","1","RD","A02","Farragut North","BRD",2016-06-05 17:49:55,6.79299365282059
"6","Shady Gr","A15","Shady Grove","2","RD","A02","Farragut North","BRD",2016-06-05 17:38:57,5.49266908168793
"8","Shady Gr","A15","Shady Grove","2","RD","A02","Farragut North","BRD",2016-06-05 17:44:04,5.10619060198466
"6","Shady Gr","A15","Shady Grove","2","RD","A02","Farragut North","BRD",2016-06-05 17:51:16,7.19982418219248
"8","Glenmont","B11","Glenmont","1","RD","A03","Dupont Circle","BRD",2016-06-05 17:47:59,6.35737679799398
"6","Shady Gr","A15","Shady Grove","2","RD","A03","Dupont Circle","BRD",2016-06-05 17:40:42,5.78938889900843
"8","Shady Gr","A15","Shady Grove","2","RD","A03","Dupont Circle","BRD",2016-06-05 17:45:33,4.85030698378881
"6","Shady Gr","A15","Shady Grove","2","RD","A03","Dupont Circle","BRD",2016-06-05 17:53:05,7.53609079917272
"8","Glenmont","B11","Glenmont","1","RD","A04","Woodley Park-Zoo/Adams Morgan","BRD",2016-06-05 17:45:11,6.81786690155665
"6","SilvrSpg","B08","Silver Spring","1","RD","A04","Woodley Park-Zoo/Adams Morgan","BRD",2016-06-05 17:57:49,12.6239038983981
"6","Shady Gr","A15","Shady Grove","2","RD","A04","Woodley Park-Zoo/Adams Morgan","BRD",2016-06-05 17:55:23,17.9644463976224
"8","Glenmont","B11","Glenmont","1","RD","A05","Cleveland Park","BRD",2016-06-05 17:43:30,6.65817071596781
"6","SilvrSpg","B08","Silver Spring","1","RD","A05","Cleveland Park","BRD",2016-06-05 17:56:08,12.6207599361738
"6","Shady Gr","A15","Shady Grove","2","RD","A05","Cleveland Park","BRD",2016-06-05 17:44:36,10.4304206172625
"8","Shady Gr","A15","Shady Grove","2","RD","A05","Cleveland Park","BRD",2016-06-05 17:49:45,5.15062716801961
"6","Shady Gr","A15","Shady Grove","2","RD","A05","Cleveland Park","BRD",2016-06-05 17:57:15,7.4964071671168
"8","Glenmont","B11","Glenmont","1","RD","A06","Van Ness-UDC","BRD",2016-06-05 17:41:38,6.72483615080516
"6","SilvrSpg","B08","Silver Spring","1","RD","A06","Van Ness-UDC","BRD",2016-06-05 17:54:26,12.7954875826836
"6","Shady Gr","A15","Shady Grove","2","RD","A06","Van Ness-UDC","BRD",2016-06-05 17:41:04,4.72914340098699
"8","Shady Gr","A15","Shady Grove","2","RD","A06","Van Ness-UDC","BRD",2016-06-05 17:51:31,10.4554695328077
"6","SilvrSpg","B08","Silver Spring","1","RD","A07","Tenleytown-AU","BRD",2016-06-05 17:51:56,12.3253898024559
"8","Glenmont","B11","Glenmont","1","RD","A07","Tenleytown-AU","BRD",2016-06-05 17:56:08,4.2028373003006
"6","Shady Gr","A15","Shady Grove","2","RD","A07","Tenleytown-AU","BRD",2016-06-05 17:43:41,3.51551280021667
"6","Shady Gr","A15","Shady Grove","2","RD","A07","Tenleytown-AU","BRD",2016-06-05 17:48:21,4.65735746622086
"8","Shady Gr","A15","Shady Grove","2","RD","A07","Tenleytown-AU","BRD",2016-06-05 17:54:04,5.71419141689936
"6","SilvrSpg","B08","Silver Spring","1","RD","A08","Friendship Heights","BRD",2016-06-05 17:49:55,12.5001726667086
"8","Glenmont","B11","Glenmont","1","RD","A08","Friendship Heights","BRD",2016-06-05 17:54:26,4.50468329985936
"6","Shady Gr","A15","Shady Grove","2","RD","A08","Friendship Heights","BRD",2016-06-05 17:45:33,3.32893638213476
"6","Shady Gr","A15","Shady Grove","2","RD","A08","Friendship Heights","BRD",2016-06-05 17:50:20,4.77869879802068
"8","Shady Gr","A15","Shady Grove","2","RD","A08","Friendship Heights","BRD",2016-06-05 17:55:46,5.43730605045954
"6","SilvrSpg","B08","Silver Spring","1","RD","A09","Bethesda","BRD",2016-06-05 17:47:01,12.2696424325307
"8","Glenmont","B11","Glenmont","1","RD","A09","Bethesda","BRD",2016-06-05 17:51:45,4.74344983498255
"6","Shady Gr","A15","Shady Grove","2","RD","A09","Bethesda","BRD",2016-06-05 17:48:33,27.5949610829353
"6","Shady Gr","A15","Shady Grove","2","RD","A09","Bethesda","BRD",2016-06-05 17:52:43,4.17172954877218
"6","SilvrSpg","B08","Silver Spring","1","RD","A10","Medical Center","BRD",2016-06-05 17:56:08,11.1357089678446
"6","Shady Gr","A15","Shady Grove","2","RD","A10","Medical Center","BRD",2016-06-05 17:50:53,16.3436545491219
"6","Shady Gr","A15","Shady Grove","2","RD","A10","Medical Center","BRD",2016-06-05 17:55:00,4.11088493665059
"8","Glenmont","B11","Glenmont","1","RD","A11","Grosvenor-Strathmore","BRD",2016-06-05 17:46:16,4.62724671363831
"6","SilvrSpg","B08","Silver Spring","1","RD","A11","Grosvenor-Strathmore","BRD",2016-06-05 17:52:21,6.08901025056839
"6","Shady Gr","A15","Shady Grove","2","RD","A11","Grosvenor-Strathmore","BRD",2016-06-05 17:51:56,13.948132733504
"6","Shady Gr","A15","Shady Grove","2","RD","A11","Grosvenor-Strathmore","BRD",2016-06-05 17:54:36,2.6827832976977
"8","SilvrSpg","B08","Silver Spring","1","RD","A12","White Flint","BRD",2016-06-05 17:49:15,9.64527426958084
